Water for Human Consumption Directive - Quality Criteria
Note: Group entries are split in different rows.
Export date: 06/05/2025 00:16:40
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"Name"	"EC No."	"CAS No."	"Name"	"CAS"	"Application Name"	"English Name in Source"	"Expressed As"	"Maximum Threshold"	"Minimum Threshold"	"Note(s)"	"Notes"	"Part"	"Qualifier(s)"	"Restriction(s)"	"Unit"	
"1,2-dichloroethane"	"203-458-1"	"107-06-2"	"1,2-dichloroethane"	"107-06-2"	"Drinking water"	""	""	"3 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Acrylamide"	"201-173-7"	"79-06-1"	"Acrylamide"	"79-06-1"	"Drinking water"	""	""	"0.1 µg/l"	""	""	"The parametric value refers to the residual monomer concentration in the water as calculated according to specifications of the maximum release from the corresponding polymer in contact with the water"	"B Part B - Chemical parameters"	""	""	""	
"Aluminium"	"231-072-3"	"7429-90-5"	"Aluminium"	"7429-90-5"	"Drinking water"	""	""	"200 µg/l"	""	""	""	"C1 Part C - Indicator parameters"	""	""	""	
"Ammonium"	"-"	"14798-03-9"	"Ammonium"	"14798-03-9"	"Drinking water"	""	""	"0.5 mg/l"	""	""	""	"C1 Part C - Indicator parameters"	""	""	""	
"Antimony"	"231-146-5"	"7440-36-0"	"Antimony"	"7440-36-0"	"Drinking water"	""	""	"5 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Arsenic"	"231-148-6"	"7440-38-2"	"Arsenic"	"7440-38-2"	"Drinking water"	""	""	"10 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Benzene"	"200-753-7"	"71-43-2"	"Benzene"	"71-43-2"	"Drinking water"	""	""	"1 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Benzo(a)pyrene"	"200-028-5"	"50-32-8"	"Benzo(a)pyrene"	"50-32-8"	"Drinking water"	""	""	"0.01 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Boron"	"231-151-2"	"7440-42-8"	"Boron"	"7440-42-8"	"Drinking water"	""	""	"1 mg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Bromate"	"-"	"15541-45-4"	"Bromate"	"15541-45-4"	"Drinking water"	""	""	"10 µg/l"	""	""	"Where possible, without compromising disinfection, Member States should strive for a lower value; For the water referred to in Article 6(1)(a), (b) and (d), the value must be met, at the latest, 10 calendar years after the entry into force of the Directive"	"B Part B - Chemical parameters"	""	"The parametric value for bromate from five years after the entry into force of this Directive until 10 years after its entry into force is 25 μg/l"	""	
"Cadmium"	"231-152-8"	"7440-43-9"	"Cadmium"	"7440-43-9"	"Drinking water"	""	""	"5 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Chloride"	"690-375-2"	"16887-00-6"	"Chloride"	"16887-00-6"	"Drinking water"	""	""	"250 mg/l"	""	""	"The water should not be aggressive"	"C1 Part C - Indicator parameters"	""	""	""	
"Chromium"	"231-157-5"	"7440-47-3"	"Chromium"	"7440-47-3"	"Drinking water"	""	""	"50 µg/l"	""	""	""	"B Part B - Chemical parameters"	""	""	""	
"Clostridium perfringens (including spores)"	"-"	"-"	"Clostridium perfringens (including spores)"	""	"Drinking water"	""	""	"0 count/100ml"	""	""	"This parameter need not be measured unless the water originates from or is influenced by surface water; In the event of non-compliance with this parametric value, the Member State concerned must investigate the supply to ensure that there is no potential danger to human health arising from the presence of pathogenic micro-organisms, e.g. cryptosporidium; Member States must include the results of all such investigations in the reports they must submit under Article 13(2)"	"C1 Part C - Indicator parameters"	""	""	""	
"Coliform bacteria"	"-"	"-"	"Coliform bacteria"	""	"Drinking water"	""	""	"0 count/100ml"	""	""	""	"C1 Part C - Indicator parameters"	""	""	""	
"Coliform bacteria"	"-"	"-"	"Coliform bacteria"	""	"Water offered for sale in bottles or containers"	""	""	"0 count/250ml"	""	""	""	"C1 Part C - Indicator parameters"	""	""	""	
"Colony count at 22°C;Colony count at 37°C"	"-"	"-"	"Colony count at 22°C"	""	"Water offered for sale in bottles or containers"	""	""	"100 count/ml"	""	""	""	"A Part A - Microbiological parameters"	""	""	""	
